Kode Item,Nama Item,Kelompok,Family,Original Code,Color,Kode Material,Deskripsi Material,Kode Motif,Deskripsi Motif
*GULING ANAK,GULING ANAK 31X47 CM,MATAHARI,-,,,-,-,-,-
*M-A4,SPREY KING 180X200 CM,MATAHARI,-,,,-,-,-,-
*M-BANTAL 40X40,BANTAL HIAS 40X40 CM,MATAHARI,-,,,-,-,-,-
*M-S GULUNG,SARUNG GULING 37X95 CM,MATAHARI,-,,,-,-,-,-
#NAME?,-/JORELL B,FG-FV,-,,,M8,MICROTEX 300 TC,C24-CRB,JORELL B
#NAME?,-/POLOSAN PINK MUDA TC.240,FG-R,-,,,CT,COTTON,382PM,POLOSAN PINK MUDA TC.240
#NAME?,-/FLORIANE A (BUNGA BESAR),FG-R,-,,,CT,COTTON,R-15-A,FLORIANE A (BUNGA BESAR)
#NAME?,-/AIDEN PUTIH,FG-R,-,,,M13,MICROTEX 130GSM,F25-W,WHITE AIDEN
#NAME?,-/TENCEL POLOS PUTIH,FG-R,-,,,TL6,TENCEL 60S,R13-TL-W,TENCEL POLOS PUTIH
0,-/MIREYA,FG-S,-,#NAME?,BRANCH BW,S4,SATIN 40S,24328,MIREYA
001C,"LUCRETIA 100% POLYESTER PRINTING FABRIC 80 GSM, L=240 CM",KAIN,-,,BROWN/MIX,-,-,-,-
10Q,QUILTING BUSA,KAIN,-,,,-,-,-,-
10Q-B,QUILTING BUSA BLUE,KAIN,-,,BLUE,-,-,-,-
10Q-BL,QUILTING BUSA BLACK,KAIN,-,,BLACK,-,-,-,-
10Q-BR,QUILTING BUSA BROWN,KAIN,-,,BROWN,-,-,-,-
10Q-BW,QUILTING BUSA BW,KAIN,-,,BW,10Q,QUILTING BUSA,10Q-BW,KAIN KNITTING BW
10Q-CB,QUILTING BUSA CLASSIC BLUE 130,KAIN,-,,C. BLUE,10Q,QUILTING BUSA,10Q-CB,KAIN KNITTING CLASSIC BLUE
10Q-CB1,QUILTING BUSA CLASSIC BLUE 150,KAIN,-,,C.BLUE,10Q,QUILTING BUSA,10Q-CB1,KAIN KNITTING CLASSIC BLUE 1
10Q-CN,QUILTING BUSA COKLAT NATURAL,KAIN,-,,COKLAT N.,10Q,QUILTING BUSA,10Q-CN,KAIN KNITTING COKLAT NATURAL
10Q-DW,QUILTING BUSA DARK WINE,KAIN,-,,DARK WINE,10Q,QUILTING BUSA,10Q-DW,KAIN KNITTING DARK WINE
10Q-GR,QUILTING BUSA GREY,KAIN,-,,,10Q,QUILTING BUSA,10Q-GR,QUILTING BUSA GREY
